PT08.S1(CO),PT08.S2(NMHC),C6H6(GT),NOx(GT)
733.0,588.0,2.0,180.0
726.0,591.0,2.1,22.0
732.0,613.0,2.4,44.0
933.0,962.0,9.6,167.0
1061.0,1162.0,15.4,220.0
1201.0,1428.0,25.0,285.0
1065.0,1151.0,15.1,272.0
1075.0,1222.0,17.4,238.0
998.0,1119.0,14.1,207.0
922.0,1042.0,11.8,152.0
1023.0,1147.0,14.9,185.0
1039.0,1180.0,16.0,184.0
1054.0,1195.0,16.5,205.0
1022.0,1155.0,15.2,172.0
1082.0,1266.0,18.9,227.0
1056.0,1268.0,19.0,187.0
1243.0,1524.0,28.9,290.0
1029.0,1097.0,13.4,155.0
1004.0,1011.0,10.9,108.0
979.0,937.0,8.9,94.0
972.0,919.0,8.5,103.0
942.0,846.0,6.7,78.0
825.0,720.0,4.2,38.0
780.0,621.0,2.5,26.0
746.0,565.0,1.7,180.0
734.0,538.0,1.4,19.0
785.0,640.0,2.8,35.0
946.0,931.0,8.8,126.0
1201.0,1279.0,19.4,309.0
1377.0,1688.0,36.1,376.0
1346.0,1481.0,27.1,441.0
1230.0,1268.0,19.0,309.0
1160.0,1208.0,16.9,220.0
1146.0,1171.0,15.7,168.0
1078.0,1121.0,14.1,149.0
1111.0,1194.0,16.5,160.0
1083.0,1141.0,14.8,177.0
1056.0,1083.0,13.0,180.0
1220.0,1334.0,21.4,176.0
1268.0,1393.0,23.6,202.0
1256.0,1430.0,25.0,255.0
1213.0,1341.0,21.6,210.0
1145.0,1170.0,15.7,157.0
1050.0,1011.0,10.9,96.0
972.0,902.0,8.1,59.0
1020.0,984.0,10.2,81.0
934.0,878.0,7.5,40.0
914.0,801.0,5.8,42.0
824.0,698.0,3.8,180.0
817.0,672.0,3.3,31.0
833.0,708.0,4.0,54.0
935.0,905.0,8.1,88.0
1297.0,1359.0,22.3,261.0
1496.0,1705.0,36.9,357.0
1201.0,1224.0,17.5,265.0
1267.0,1276.0,19.3,247.0
1224.0,1228.0,17.6,189.0
1247.0,1257.0,18.6,168.0
1183.0,1241.0,18.0,183.0
1078.0,1116.0,14.0,157.0
1076.0,1012.0,10.9,113.0
1052.0,1019.0,11.1,140.0
1287.0,1340.0,21.6,230.0
1460.0,1493.0,27.6,277.0
1357.0,1445.0,25.6,295.0
1234.0,1257.0,18.6,212.0
1151.0,1154.0,15.2,151.0
1065.0,1038.0,11.7,110.0
984.0,929.0,8.7,83.0
938.0,881.0,7.6,48.0
878.0,774.0,5.2,27.0
919.0,807.0,5.9,48.0
836.0,709.0,4.0,180.0
814.0,673.0,3.3,33.0
872.0,782.0,5.4,75.0
949.0,929.0,8.7,101.0
1227.0,1292.0,19.9,214.0
1360.0,1561.0,30.4,290.0
1318.0,1420.0,24.6,311.0
1196.0,1208.0,16.9,234.0
1152.0,1102.0,13.6,157.0
1220.0,1157.0,15.3,165.0
1182.0,1120.0,14.1,137.0
1167.0,1210.0,17.0,149.0
1142.0,1109.0,13.8,140.0
1157.0,1105.0,13.6,139.0
1274.0,1329.0,21.2,221.0
1372.0,1451.0,25.9,318.0
1373.0,1440.0,25.4,363.0
1290.0,1393.0,23.6,341.0
1056.0,1051.0,12.0,163.0
1116.0,1123.0,14.2,157.0
1106.0,1122.0,14.2,202.0
1018.0,992.0,10.4,102.0
919.0,880.0,7.5,70.0
807.0,681.0,3.5,41.0
787.0,620.0,2.5,180.0
789.0,623.0,2.6,36.0
825.0,709.0,4.0,68.0
912.0,858.0,7.0,92.0
1339.0,1425.0,24.8,332.0
1355.0,1526.0,28.9,333.0
1250.0,1336.0,21.5,298.0
1105.0,1079.0,12.9,180.0
1076.0,1055.0,12.2,146.0
1096.0,1087.0,13.1,120.0
1093.0,1094.0,13.3,108.0
1027.0,1066.0,12.5,109.0
1026.0,1085.0,13.0,124.0
1015.0,1062.0,12.3,127.0
1028.0,1155.0,15.2,185.0
1074.0,1270.0,19.1,230.0
1124.0,1289.0,19.7,265.0
1111.0,1256.0,18.6,261.0
1062.0,1183.0,16.1,219.0
1072.0,1148.0,15.0,180.0
936.0,871.0,7.3,108.0
988.0,937.0,8.9,98.0
924.0,839.0,6.6,57.0
839.0,725.0,4.3,36.0
826.0,666.0,3.2,180.0
853.0,716.0,4.1,45.0
918.0,810.0,6.0,87.0
890.0,791.0,5.6,62.0
865.0,752.0,4.8,65.0
1003.0,937.0,8.9,125.0
1123.0,1088.0,13.1,157.0
1146.0,1119.0,14.1,171.0
1110.0,1021.0,11.2,119.0
1126.0,979.0,10.0,110.0
1067.0,962.0,9.6,95.0
1008.0,866.0,7.2,58.0
1062.0,924.0,8.6,69.0
1082.0,939.0,9.0,76.0
1042.0,897.0,7.9,63.0
1022.0,823.0,6.2,51.0
1024.0,828.0,6.3,46.0
1048.0,828.0,6.3,52.0
1153.0,1022.0,11.2,84.0
1195.0,1077.0,12.8,130.0
1245.0,1091.0,13.2,147.0
1086.0,946.0,9.2,126.0
972.0,804.0,5.8,47.0
880.0,677.0,3.4,24.0
906.0,719.0,4.1,180.0
879.0,658.0,3.1,25.0
842.0,597.0,2.2,21.0
797.0,543.0,1.5,25.0
796.0,526.0,1.3,25.0
767.0,520.0,1.2,30.0
784.0,562.0,1.7,42.0
811.0,622.0,2.5,52.0
838.0,620.0,2.5,62.0
821.0,632.0,2.7,67.0
793.0,579.0,1.9,47.0
794.0,567.0,1.8,35.0
821.0,614.0,2.4,45.0
849.0,628.0,2.6,53.0
852.0,651.0,3.0,57.0
847.0,645.0,2.9,71.0
849.0,682.0,3.5,67.0
865.0,687.0,3.6,75.0
848.0,689.0,3.6,65.0
807.0,606.0,2.3,45.0
814.0,627.0,2.6,46.0
785.0,582.0,2.0,33.0
748.0,515.0,1.2,19.0
716.0,461.0,0.7,9.0
708.0,437.0,0.5,180.0
724.0,448.0,0.5,12.0
748.0,477.0,0.8,21.0
888.0,683.0,3.5,66.0
973.0,858.0,7.0,137.0
993.0,927.0,8.7,151.0
929.0,825.0,6.3,115.0
962.0,858.0,7.0,118.0
906.0,786.0,5.5,95.0
915.0,776.0,5.3,86.0
928.0,787.0,5.5,85.0
855.0,698.0,3.8,66.0
920.0,783.0,5.4,74.0
917.0,842.0,6.7,108.0
1072.0,1057.0,12.2,150.0
1000.0,985.0,10.2,157.0
914.0,845.0,6.7,93.0
888.0,799.0,5.7,76.0
851.0,718.0,4.1,57.0
870.0,749.0,4.7,64.0
883.0,773.0,5.2,59.0
886.0,767.0,5.1,68.0
792.0,637.0,2.8,31.0
754.0,535.0,1.4,21.0
732.0,503.0,1.0,180.0
770.0,586.0,2.0,24.0
797.0,654.0,3.0,38.0
915.0,877.0,7.5,92.0
1287.0,1423.0,24.7,311.0
1195.0,1424.0,24.8,260.0
1003.0,1009.0,10.9,181.0
1037.0,1046.0,11.9,177.0
1114.0,1181.0,16.0,180.0
1085.0,1171.0,15.7,174.0
1024.0,1087.0,13.1,140.0
1017.0,1057.0,12.2,122.0
1053.0,1173.0,15.8,189.0
1065.0,1198.0,16.6,169.0
1136.0,1250.0,18.4,172.0
1100.0,1202.0,16.7,154.0
1143.0,1319.0,20.8,192.0
1083.0,1157.0,15.3,160.0
1009.0,1034.0,11.5,110.0
969.0,983.0,10.1,97.0
1029.0,993.0,10.4,124.0
1064.0,956.0,9.4,108.0
986.0,853.0,6.9,61.0
872.0,709.0,4.0,34.0
840.0,654.0,3.0,180.0
812.0,626.0,2.6,24.0
810.0,612.0,2.4,27.0
936.0,849.0,6.8,70.0
1244.0,1265.0,18.9,176.0
1440.0,1556.0,30.2,310.0
1180.0,1145.0,14.9,221.0
1126.0,1058.0,12.2,168.0
1005.0,910.0,8.3,109.0
1032.0,940.0,9.0,102.0
1087.0,1106.0,13.7,129.0
1090.0,1119.0,14.1,117.0
1072.0,1050.0,12.0,112.0
1101.0,1057.0,12.2,122.0
1111.0,1086.0,13.1,114.0
1048.0,1070.0,12.6,111.0
1197.0,1249.0,18.3,158.0
1173.0,1217.0,17.2,202.0
1075.0,1079.0,12.9,166.0
1067.0,1106.0,13.7,143.0
1060.0,1099.0,13.4,122.0
1081.0,1099.0,13.5,113.0
1017.0,975.0,9.9,109.0
836.0,734.0,4.4,53.0
831.0,727.0,4.3,180.0
804.0,668.0,3.3,32.0
798.0,677.0,3.4,35.0
966.0,951.0,9.3,123.0
1277.0,1388.0,23.4,254.0
1335.0,1496.0,27.7,300.0
1297.0,1353.0,22.1,281.0
1041.0,979.0,10.0,169.0
1027.0,936.0,8.9,152.0
1037.0,969.0,9.8,127.0
1014.0,954.0,9.4,118.0
1007.0,971.0,9.8,120.0
998.0,958.0,9.5,125.0
1014.0,958.0,9.5,117.0
1157.0,1160.0,15.4,166.0
1225.0,1281.0,19.4,180.0
1131.0,1194.0,16.5,172.0
1111.0,1126.0,14.3,160.0
976.0,909.0,8.2,103.0
1016.0,929.0,8.7,87.0
1177.0,1156.0,15.2,147.0
1013.0,999.0,10.6,120.0
886.0,813.0,6.0,63.0
791.0,658.0,3.1,30.0
762.0,618.0,2.5,180.0
740.0,568.0,1.8,19.0
775.0,628.0,2.6,27.0
872.0,833.0,6.5,65.0
1123.0,1134.0,14.5,169.0
1306.0,1522.0,28.8,244.0
1237.0,1332.0,21.3,274.0
1143.0,1146.0,14.9,202.0
1170.0,1168.0,15.6,186.0
1116.0,1128.0,14.3,153.0
1054.0,1069.0,12.6,112.0
1083.0,1097.0,13.4,117.0
1078.0,1069.0,12.6,109.0
1104.0,1143.0,14.8,133.0
1170.0,1257.0,18.6,185.0
1091.0,1201.0,16.7,167.0
1216.0,1318.0,20.8,218.0
1125.0,1179.0,16.0,171.0
971.0,881.0,7.6,78.0
1062.0,984.0,10.2,84.0
1140.0,1109.0,13.8,110.0
1038.0,992.0,10.4,87.0
935.0,836.0,6.5,58.0
861.0,729.0,4.3,39.0
839.0,678.0,3.4,180.0
850.0,703.0,3.9,38.0
817.0,651.0,3.0,41.0
825.0,667.0,3.2,47.0
921.0,792.0,5.6,72.0
1031.0,945.0,9.1,100.0
1092.0,967.0,9.7,104.0
1095.0,923.0,8.6,109.0
1097.0,964.0,9.6,103.0
1101.0,972.0,9.8,75.0
1060.0,991.0,10.3,72.0
1063.0,909.0,8.2,56.0
1063.0,909.0,8.2,51.0
1063.0,909.0,8.2,52.0
1063.0,909.0,8.2,46.0
1063.0,909.0,8.2,44.0
1063.0,909.0,8.2,72.0
1063.0,909.0,8.2,88.0
1063.0,909.0,8.2,56.0
1063.0,909.0,8.2,82.0
1063.0,909.0,8.2,125.0
1063.0,909.0,8.2,144.0
1063.0,909.0,8.2,54.0
1063.0,909.0,8.2,48.0
1063.0,909.0,8.2,180.0
1063.0,909.0,8.2,41.0
1063.0,909.0,8.2,40.0
1063.0,909.0,8.2,48.0
1063.0,909.0,8.2,44.0
1063.0,909.0,8.2,59.0
1063.0,909.0,8.2,59.0
1063.0,909.0,8.2,53.0
1063.0,909.0,8.2,42.0
1063.0,909.0,8.2,43.0
1063.0,909.0,8.2,23.0
1063.0,909.0,8.2,22.0
1063.0,909.0,8.2,37.0
1063.0,909.0,8.2,53.0
1063.0,909.0,8.2,68.0
1063.0,909.0,8.2,125.0
1063.0,909.0,8.2,96.0
1063.0,909.0,8.2,75.0
1063.0,909.0,8.2,74.0
1063.0,909.0,8.2,92.0
1063.0,909.0,8.2,136.0
1063.0,909.0,8.2,119.0
1063.0,909.0,8.2,76.0
1063.0,909.0,8.2,21.0
1063.0,909.0,8.2,180.0
732.0,544.0,1.5,15.0
809.0,681.0,3.5,52.0
934.0,911.0,8.3,85.0
1132.0,1220.0,17.3,177.0
1221.0,1386.0,23.3,232.0
1024.0,1111.0,13.8,201.0
938.0,987.0,10.2,134.0
869.0,897.0,7.9,104.0
846.0,930.0,8.8,89.0
838.0,868.0,7.2,66.0
875.0,912.0,8.3,85.0
907.0,961.0,9.6,105.0
889.0,939.0,9.0,99.0
969.0,1064.0,12.4,132.0
1051.0,1157.0,15.3,186.0
1043.0,1181.0,16.1,174.0
1043.0,1121.0,14.1,149.0
1007.0,1027.0,11.4,114.0
966.0,959.0,9.5,92.0
920.0,875.0,7.4,75.0
889.0,831.0,6.4,74.0
825.0,715.0,4.1,35.0
758.0,580.0,1.9,22.0
735.0,533.0,1.4,180.0
719.0,522.0,1.2,24.0
757.0,596.0,2.2,30.0
890.0,831.0,6.4,93.0
1181.0,1255.0,18.5,332.0
1332.0,1556.0,30.2,387.0
1128.0,1124.0,14.2,267.0
1128.0,1126.0,14.3,269.0
1064.0,1069.0,12.6,193.0
1139.0,1240.0,18.0,239.0
1121.0,1214.0,17.1,232.0
1032.0,1083.0,13.0,152.0
1040.0,1022.0,11.2,115.0
1076.0,1105.0,13.6,169.0
1177.0,1310.0,20.5,226.0
1196.0,1303.0,20.2,218.0
1204.0,1381.0,23.1,245.0
1166.0,1304.0,20.3,236.0
959.0,949.0,9.3,104.0
1004.0,997.0,10.5,104.0
1050.0,1105.0,13.6,144.0
965.0,900.0,8.0,79.0
849.0,744.0,4.6,51.0
809.0,666.0,3.2,38.0
777.0,609.0,2.4,180.0
768.0,591.0,2.1,24.0
768.0,597.0,2.2,30.0
917.0,842.0,6.7,73.0
1252.0,1380.0,23.1,305.0
1224.0,1268.0,19.0,295.0
1277.0,1300.0,20.1,331.0
1149.0,1192.0,16.4,304.0
1091.0,1082.0,13.0,210.0
1053.0,1087.0,13.1,163.0
1023.0,1042.0,11.8,132.0
1085.0,1075.0,12.7,126.0
1116.0,1120.0,14.1,150.0
1111.0,1131.0,14.4,171.0
1210.0,1316.0,20.7,234.0
1250.0,1339.0,21.6,251.0
1297.0,1408.0,24.2,294.0
1313.0,1345.0,21.8,300.0
1146.0,1084.0,13.0,159.0
1199.0,1152.0,15.1,176.0
1274.0,1197.0,16.6,192.0
1243.0,1072.0,12.7,152.0
1054.0,923.0,8.6,63.0
962.0,778.0,5.3,35.0
915.0,690.0,3.6,180.0
871.0,639.0,2.8,21.0
877.0,658.0,3.1,41.0
893.0,696.0,3.7,48.0
1030.0,851.0,6.9,102.0
1059.0,926.0,8.6,111.0
1020.0,860.0,7.1,93.0
1045.0,840.0,6.6,118.0
1029.0,866.0,7.2,93.0
959.0,763.0,5.0,56.0
975.0,798.0,5.7,51.0
988.0,813.0,6.0,52.0
971.0,818.0,6.1,59.0
999.0,899.0,8.0,62.0
989.0,889.0,7.8,85.0
1075.0,1020.0,11.1,109.0
1190.0,1177.0,15.9,168.0
1172.0,1108.0,13.7,166.0
1256.0,1340.0,21.6,149.0
1190.0,1203.0,16.8,118.0
1249.0,1310.0,20.5,160.0
1072.0,1120.0,14.1,124.0
1035.0,1011.0,10.9,95.0
839.0,690.0,3.6,34.0
833.0,671.0,3.3,180.0
804.0,616.0,2.4,45.0
811.0,651.0,3.0,35.0
1028.0,934.0,8.9,141.0
1138.0,1141.0,14.8,199.0
1203.0,1185.0,16.2,224.0
1193.0,1136.0,14.6,245.0
1049.0,898.0,8.0,153.0
1090.0,942.0,9.1,145.0
1070.0,976.0,10.0,130.0
1014.0,970.0,9.8,95.0
972.0,912.0,8.3,88.0
951.0,880.0,7.5,89.0
1033.0,1038.0,11.7,127.0
983.0,1094.0,13.3,149.0
973.0,1128.0,14.4,170.0
1083.0,1237.0,17.9,210.0
1062.0,1176.0,15.9,230.0
1011.0,1122.0,14.2,203.0
1054.0,1110.0,13.8,174.0
1013.0,1038.0,11.7,164.0
870.0,823.0,6.2,76.0
857.0,769.0,5.1,52.0
835.0,739.0,4.5,47.0
844.0,759.0,4.9,180.0
763.0,622.0,2.5,37.0
769.0,606.0,2.3,41.0
891.0,790.0,5.5,74.0
1037.0,993.0,10.4,168.0
1090.0,1065.0,12.4,176.0
1117.0,1118.0,14.0,184.0
1109.0,1074.0,12.7,187.0
961.0,939.0,9.0,118.0
985.0,919.0,8.5,89.0
960.0,909.0,8.2,70.0
927.0,806.0,5.9,51.0
958.0,795.0,5.6,52.0
1019.0,842.0,6.7,70.0
1010.0,816.0,6.1,80.0
1030.0,844.0,6.7,90.0
1100.0,946.0,9.2,111.0
1079.0,909.0,8.2,107.0
1036.0,859.0,7.0,73.0
1085.0,959.0,9.5,75.0
1214.0,1151.0,15.1,144.0
1127.0,1041.0,11.7,120.0
1038.0,950.0,9.3,71.0
948.0,829.0,6.4,40.0
953.0,844.0,6.7,180.0
869.0,723.0,4.2,34.0
809.0,628.0,2.6,27.0
833.0,641.0,2.8,30.0
857.0,661.0,3.1,40.0
966.0,820.0,6.2,56.0
1063.0,894.0,7.9,104.0
1110.0,996.0,10.5,121.0
1055.0,941.0,9.0,100.0
939.0,828.0,6.3,59.0
816.0,684.0,3.5,42.0
841.0,712.0,4.0,38.0
842.0,722.0,4.2,40.0
990.0,852.0,6.9,70.0
1042.0,894.0,7.9,95.0
1089.0,893.0,7.9,90.0
1102.0,990.0,10.3,90.0
1095.0,996.0,10.5,111.0
1116.0,1075.0,12.7,135.0
1105.0,1046.0,11.9,146.0
1018.0,950.0,9.3,100.0
991.0,896.0,7.9,69.0
923.0,765.0,5.0,47.0
874.0,679.0,3.4,26.0
846.0,662.0,3.2,180.0
838.0,632.0,2.7,24.0
827.0,656.0,3.1,55.0
901.0,763.0,5.0,47.0
1291.0,1316.0,20.7,209.0
1441.0,1606.0,32.4,348.0
1363.0,1410.0,24.2,337.0
1218.0,1198.0,16.6,280.0
1132.0,1091.0,13.2,169.0
1103.0,1060.0,12.3,126.0
1081.0,1053.0,12.1,108.0
1079.0,1018.0,11.1,93.0
1167.0,1087.0,13.1,112.0
1148.0,1037.0,11.6,110.0
1221.0,1230.0,17.7,188.0
1255.0,1283.0,19.5,203.0
1245.0,1287.0,19.7,167.0
1162.0,1151.0,15.1,116.0
1079.0,1020.0,11.1,89.0
1091.0,1038.0,11.7,103.0
1085.0,1039.0,11.7,100.0
1050.0,966.0,9.7,86.0
941.0,814.0,6.0,52.0
891.0,705.0,3.9,27.0
842.0,624.0,2.6,180.0
850.0,639.0,2.8,35.0
863.0,652.0,3.0,42.0
956.0,784.0,5.4,57.0
1384.0,1391.0,23.5,228.0
1502.0,1631.0,33.5,350.0
1219.0,1163.0,15.5,232.0
1237.0,1157.0,15.3,206.0
1181.0,1078.0,12.8,159.0
1251.0,1154.0,15.2,184.0
1214.0,1170.0,15.7,136.0
1166.0,1062.0,12.3,124.0
1226.0,1157.0,15.3,133.0
1265.0,1229.0,17.6,156.0
1317.0,1338.0,21.5,200.0
1372.0,1382.0,23.2,202.0
1443.0,1443.0,25.6,286.0
1200.0,1126.0,14.3,141.0
1216.0,1130.0,14.4,117.0
1160.0,1070.0,12.6,110.0
1194.0,1106.0,13.7,100.0
1199.0,1087.0,13.1,112.0
965.0,818.0,6.1,35.0
961.0,801.0,5.8,33.0
901.0,697.0,3.7,180.0
864.0,629.0,2.6,28.0
952.0,742.0,4.6,49.0
1009.0,875.0,7.4,81.0
1225.0,1155.0,15.2,178.0
1245.0,1202.0,16.7,223.0
1265.0,1209.0,17.0,290.0
1276.0,1241.0,18.0,274.0
1232.0,1183.0,16.1,278.0
1193.0,1097.0,13.4,152.0
1162.0,1117.0,14.0,118.0
1126.0,1097.0,13.4,141.0
1089.0,993.0,10.4,131.0
1134.0,1073.0,12.7,171.0
1388.0,1418.0,24.5,287.0
1506.0,1499.0,27.8,267.0
1352.0,1385.0,23.3,280.0
1217.0,1227.0,17.6,224.0
1149.0,1132.0,14.5,137.0
1156.0,1129.0,14.4,118.0
1180.0,1122.0,14.2,128.0
1109.0,1080.0,12.9,111.0
1032.0,974.0,9.9,66.0
893.0,767.0,5.1,36.0
848.0,642.0,2.8,180.0
850.0,664.0,3.2,31.0
938.0,782.0,5.4,75.0
948.0,828.0,6.4,66.0
1225.0,1214.0,17.1,154.0
1380.0,1359.0,22.3,239.0
1276.0,1138.0,14.6,246.0
1246.0,1093.0,13.3,261.0
1141.0,996.0,10.5,179.0
1199.0,1124.0,14.2,159.0
1156.0,1056.0,12.2,111.0
1158.0,983.0,10.1,101.0
1163.0,1039.0,11.7,118.0
1078.0,1009.0,10.9,120.0
1244.0,1219.0,17.3,177.0
1236.0,1239.0,18.0,186.0
1364.0,1376.0,22.9,235.0
1193.0,1196.0,16.5,195.0
1078.0,985.0,10.2,106.0
1140.0,1035.0,11.6,107.0
1239.0,1127.0,14.3,134.0
1171.0,1093.0,13.3,117.0
1065.0,977.0,10.0,83.0
1024.0,882.0,7.6,77.0
873.0,679.0,3.4,180.0
874.0,668.0,3.3,37.0
887.0,647.0,2.9,50.0
993.0,795.0,5.6,60.0
1299.0,1225.0,17.5,179.0
1529.0,1526.0,29.0,300.0
1320.0,1210.0,17.0,263.0
1226.0,1168.0,15.6,265.0
1105.0,980.0,10.1,164.0
1160.0,1040.0,11.7,122.0
1125.0,1051.0,12.0,125.0
1099.0,1015.0,11.0,125.0
1124.0,1021.0,11.2,115.0
1105.0,995.0,10.5,162.0
1035.0,1043.0,11.8,149.0
1065.0,1110.0,13.8,161.0
1051.0,1220.0,17.3,201.0
1073.0,1124.0,14.2,209.0
1008.0,1004.0,10.7,133.0
1090.0,1073.0,12.7,133.0
1048.0,983.0,10.1,134.0
1131.0,1087.0,13.1,164.0
953.0,874.0,7.4,72.0
897.0,745.0,4.6,50.0
900.0,750.0,4.7,180.0
828.0,639.0,2.8,27.0
892.0,739.0,4.5,74.0
914.0,809.0,5.9,69.0
1096.0,1017.0,11.1,162.0
1173.0,1130.0,14.4,208.0
1125.0,1016.0,11.1,168.0
1079.0,976.0,9.9,139.0
974.0,930.0,8.8,104.0
977.0,973.0,9.9,99.0
912.0,873.0,7.4,89.0
896.0,817.0,6.1,57.0
896.0,822.0,6.2,64.0
956.0,862.0,7.1,65.0
970.0,900.0,8.0,79.0
929.0,869.0,7.3,80.0
947.0,926.0,8.7,81.0
1003.0,880.0,7.5,59.0
1045.0,940.0,9.0,90.0
1125.0,1035.0,11.6,122.0
1138.0,985.0,10.2,120.0
1217.0,1060.0,12.3,126.0
983.0,831.0,6.4,68.0
1007.0,864.0,7.2,65.0
957.0,816.0,6.1,180.0
914.0,725.0,4.3,38.0
886.0,702.0,3.8,31.0
899.0,708.0,4.0,40.0
942.0,723.0,4.2,36.0
1022.0,817.0,6.1,64.0
1009.0,810.0,6.0,56.0
1025.0,809.0,5.9,56.0
977.0,783.0,5.4,43.0
936.0,757.0,4.9,40.0
884.0,703.0,3.9,34.0
809.0,664.0,3.2,28.0
852.0,718.0,4.1,32.0
872.0,708.0,4.0,39.0
839.0,752.0,4.8,52.0
854.0,788.0,5.5,60.0
971.0,942.0,9.1,104.0
985.0,944.0,9.1,102.0
1027.0,981.0,10.1,120.0
1012.0,876.0,7.4,89.0
1086.0,973.0,9.9,121.0
1025.0,939.0,9.0,107.0
848.0,692.0,3.7,41.0
839.0,652.0,3.0,34.0
814.0,618.0,2.5,180.0
816.0,624.0,2.6,41.0
799.0,613.0,2.4,38.0
879.0,792.0,5.6,59.0
1104.0,1125.0,14.3,165.0
1344.0,1496.0,27.7,287.0
1226.0,1272.0,19.1,317.0
1157.0,1176.0,15.9,330.0
1059.0,1060.0,12.3,204.0
1076.0,1057.0,12.2,189.0
1066.0,1041.0,11.7,165.0
1049.0,994.0,10.4,139.0
1097.0,1074.0,12.7,156.0
1087.0,1018.0,11.1,130.0
1269.0,1269.0,19.0,173.0
1328.0,1405.0,24.1,302.0
1200.0,1270.0,19.1,239.0
1098.0,1105.0,13.6,139.0
1058.0,1004.0,10.7,92.0
1081.0,1025.0,11.3,104.0
1062.0,962.0,9.6,108.0
1078.0,971.0,9.8,107.0
917.0,761.0,4.9,55.0
881.0,718.0,4.1,43.0
865.0,671.0,3.3,180.0
829.0,602.0,2.2,23.0
913.0,743.0,4.6,65.0
1077.0,985.0,10.2,165.0
1337.0,1386.0,23.3,274.0
1467.0,1575.0,31.0,369.0
1257.0,1227.0,17.6,308.0
1227.0,1125.0,14.3,227.0
1188.0,1108.0,13.7,178.0
1301.0,1276.0,19.3,267.0
1201.0,1278.0,19.3,278.0
1058.0,1026.0,11.3,165.0
1037.0,1075.0,12.7,172.0
1055.0,1157.0,15.3,216.0
1179.0,1364.0,22.5,306.0
1298.0,1430.0,25.0,317.0
1213.0,1327.0,21.1,251.0
1233.0,1398.0,23.8,230.0
1086.0,1145.0,14.9,154.0
1056.0,1078.0,12.8,137.0
1138.0,1128.0,14.3,133.0
1112.0,1128.0,14.3,117.0
992.0,948.0,9.2,106.0
895.0,767.0,5.1,55.0
843.0,655.0,3.0,180.0
828.0,626.0,2.6,27.0
894.0,709.0,4.0,46.0
1072.0,976.0,9.9,144.0
1425.0,1486.0,27.3,392.0
1428.0,1500.0,27.9,358.0
1359.0,1415.0,24.5,381.0
1182.0,1122.0,14.2,261.0
1117.0,1045.0,11.9,207.0
1119.0,1088.0,13.1,155.0
1068.0,1152.0,15.1,193.0
1090.0,1120.0,14.1,195.0
1056.0,1024.0,11.3,159.0
1098.0,1007.0,10.8,120.0
1318.0,1339.0,21.5,228.0
1348.0,1347.0,21.8,348.0
1502.0,1546.0,29.8,337.0
1373.0,1364.0,22.5,282.0
1397.0,1346.0,21.8,228.0
1286.0,1214.0,17.1,168.0
1222.0,1161.0,15.4,173.0
1069.0,983.0,10.2,87.0
1011.0,864.0,7.2,65.0
962.0,803.0,5.8,43.0
919.0,723.0,4.2,180.0
969.0,769.0,5.1,43.0
986.0,784.0,5.4,66.0
990.0,821.0,6.2,57.0
1296.0,1208.0,16.9,231.0
1371.0,1384.0,23.2,219.0
1385.0,1240.0,18.0,288.0
1381.0,1227.0,17.6,312.0
1396.0,1306.0,20.3,361.0
1070.0,1000.0,10.6,147.0
1076.0,972.0,9.9,111.0
1126.0,1004.0,10.7,98.0
1225.0,1196.0,16.5,156.0
1202.0,1206.0,16.9,213.0
1308.0,1310.0,20.5,250.0
1440.0,1281.0,19.4,253.0
1611.0,1552.0,30.0,317.0
1387.0,1419.0,24.6,309.0
1268.0,1206.0,16.9,201.0
1237.0,1175.0,15.8,173.0
1302.0,1198.0,16.6,156.0
1347.0,1282.0,19.5,190.0
1355.0,1198.0,16.6,129.0
1023.0,822.0,6.2,65.0
903.0,631.0,2.7,180.0
876.0,605.0,2.3,29.0
932.0,707.0,3.9,58.0
1020.0,866.0,7.2,92.0
1264.0,1241.0,18.1,228.0
1179.0,1153.0,15.1,172.0
1079.0,966.0,9.7,154.0
1036.0,955.0,9.4,166.0
1002.0,964.0,9.6,149.0
995.0,959.0,9.5,111.0
1008.0,962.0,9.6,145.0
978.0,962.0,9.6,105.0
989.0,990.0,10.3,113.0
961.0,985.0,10.2,115.0
1009.0,1116.0,14.0,202.0
970.0,1117.0,14.0,180.0
1097.0,1199.0,16.6,190.0
1065.0,1105.0,13.6,207.0
1036.0,986.0,10.2,113.0
1049.0,958.0,9.5,98.0
1147.0,1043.0,11.8,152.0
1118.0,1082.0,13.0,161.0
1016.0,963.0,9.6,91.0
940.0,845.0,6.7,57.0
836.0,643.0,2.9,180.0
831.0,626.0,2.6,22.0
877.0,711.0,4.0,41.0
872.0,725.0,4.3,53.0
958.0,805.0,5.9,92.0
959.0,848.0,6.8,91.0
997.0,933.0,8.8,89.0
916.0,843.0,6.7,81.0
895.0,831.0,6.4,66.0
855.0,812.0,6.0,53.0
861.0,811.0,6.0,61.0
821.0,766.0,5.0,48.0
835.0,731.0,4.4,39.0
813.0,732.0,4.4,41.0
833.0,786.0,5.5,48.0
859.0,803.0,5.8,50.0
887.0,778.0,5.3,51.0
970.0,900.0,8.0,70.0
990.0,866.0,7.2,89.0
1022.0,899.0,8.0,100.0
1075.0,993.0,10.4,139.0
1088.0,1035.0,11.6,176.0
925.0,831.0,6.4,71.0
853.0,716.0,4.1,37.0
918.0,830.0,6.4,180.0
